id	text	classification
0	The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .	pos
1	The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .	pos
2	Singer/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .	pos
4	Yet the act is still charming here .	pos
5	Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .	pos
6	Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .	pos
7	Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .	pos
8	a screenplay more ingeniously constructed than `` Memento ''	pos
9	`` Extreme Ops '' exceeds expectations .	pos
10	Good fun , good action , good acting , good dialogue , good pace , good cinematography .	pos
12	Dramas like this make it human .	pos
14	Still , this flick is fun , and host to some truly excellent sequences .	pos
15	Australian actor/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .	pos
16	You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .	pos
18	Absorbing character study by André Turpin .	pos
19	If you love reading and/or poetry , then by all means check it out .	pos
20	You 'll probably love it .	pos
21	`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''	pos
23	Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .	pos
26	The actors are fantastic .	pos
27	They are what makes it worth the trip to the theatre .	pos
28	( Taymor ) utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work .	pos
29	This is n't a new idea .	neg
30	It 's been done before but never so vividly or with so much passion .	pos
31	( `` Take Care of My Cat '' ) is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .	pos
33	What `` Empire '' lacks in depth it makes up for with its heart .	pos
34	Light , silly , photographed with colour and depth , and rather a good time .	pos
35	But tongue-in-cheek preposterousness has always been part of For the most part Wilde 's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker 's creative interference ...	pos
36	Much of the movie 's charm lies in the utter cuteness of Stuart and Margolo .	pos
37	Their computer-animated faces are very expressive .	pos
39	... spiced with humor ( ' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand ) and witty updatings ( Silver 's parrot has been replaced with Morph , a cute alien creature who mimics everyone and everything around )	pos
40	There 's an energy to Y Tu Mamá También .	pos
41	Much of it comes from the brave , uninhibited performances by its lead actors .	pos
43	`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era	pos
45	... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? ''	neg
46	feeling to it , but like the 1920 's , the trip there is a great deal of fun .	pos
47	`` Cremaster 3 '' should come with the warning `` For serious film buffs only ! ''	pos
48	Made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .	neg
49	But believe it or not , it 's one of the most beautiful , evocative works I 've seen .	pos
50	García Bernal and Talancón are an immensely appealing couple , and even though their story is predictable , you 'll want things to work out .	pos
51	... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .	pos
52	( City ) reminds us how realistically nuanced a Robert De Niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` Analyze This ' ( 1999 ) and ` Analyze That , ' promised ( or threatened ) for later this year .	pos
53	The wanton slipperiness of * Corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art .	pos
54	`` Frailty '' starts out like a typical Bible killer story , but it turns out to be significantly different ( and better ) than most films with this theme .	pos
55	For those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their *** off for an hour-and-a-half .	pos
56	It cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .	pos
57	A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .	pos
58	A crisp psychological drama ( and ) a fascinating little thriller that would have been perfect for an old `` Twilight Zone '' episode .	pos
59	It has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .	pos
61	An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '	pos
62	( The Cockettes ) provides a window into a subculture hell-bent on expressing itself in every way imaginable . '	pos
63	A smart , steamy mix of road movie , coming-of-age story and political satire .	pos
64	The modern-day royals have nothing on these guys when it comes to scandals .	neg
65	It 's only in fairy tales that princesses that are married for political reason live happily ever after .	neg
66	A terrific B movie -- in fact , the best in recent memory .	pos
67	`` Birthday Girl '' is an actor 's movie first and foremost .	pos
68	I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .	pos
69	For devotees of French cinema , Safe Conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .	pos
70	What 's really so appealing about the characters is their resemblance to everyday children .	pos
72	An absurdist spider web .	neg
73	If you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right film .	pos
76	Mention `` Solaris '' five years from now and I 'm sure those who saw it will have an opinion to share .	pos
77	Allen 's funniest and most likeable movie in years .	pos
78	It 's a glorious spectacle like those D.W. Griffith made in the early days of silent film .	pos
79	This comic gem is as delightful as it is derivative .	pos
80	More timely than its director could ever have dreamed , this quietly lyrical tale probes the ambiguous welcome extended by Iran to the Afghani refugees who streamed across its borders , desperate for work and food .	pos
81	The leaping story line , shaped by director Peter Kosminsky into sharp slivers and cutting impressions , shows all the signs of rich detail condensed into a few evocative images and striking character traits .	pos
83	The production has been made with an enormous amount of affection , so we believe these characters love each other .	pos
84	Certainly the performances are worthwhile .	pos
85	Winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars .	pos
86	Watching these eccentrics is both inspiring and pure joy .	pos
87	Steven Spielberg brings us another masterpiece	pos
88	Finally , the French-produced `` Read My Lips '' is a movie that understands characters must come first .	pos
89	Ms. Seigner and Mr. Serrault bring fresh , unforced naturalism to their characters .	pos
90	Allen shows he can outgag any of those young whippersnappers making moving pictures today .	pos
91	A good film with a solid pedigree both in front of and , more specifically , behind the camera .	pos
92	By no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act , it still comes off as a touching , transcendent love story .	neg
93	I encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale -- you wo n't be sorry !	pos
94	A literary detective story is still a detective story and aficionados of the whodunit wo n't be disappointed .	pos
95	High Crimes steals so freely from other movies and combines enough disparate types of films that it ca n't help but engage an audience .	pos
96	If you 're a fan of the series you 'll love it and probably want to see it twice .	pos
97	I will be .	pos
98	It celebrates the group 's playful spark of nonconformity , glancing vividly back at what Hibiscus grandly called his ` angels of light . '	pos
99	The story ... is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is .	pos
100	It is also a testament to the integrity and vision of the band .	pos
101	Laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , No Such Thing is a fascinating little tale .	pos
102	Huppert 's show to steal and she makes a meal of it , channeling Kathy Baker 's creepy turn as the repressed mother on Boston Public just as much as 8 Women 's Augustine .	pos
103	Nair does n't treat the issues lightly .	pos
104	She allows each character to confront their problems openly and honestly .	pos
105	One of the best silly horror movies of recent memory , with some real shocks in store for unwary viewers .	pos
106	The work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them .	pos
107	Strange occurrences build in the mind of the viewer and take on extreme urgency .	pos
108	Has a certain ghoulish fascination , and generates a fair amount of B-movie excitement .	pos
109	Familiar but utterly delightful .	pos
110	A fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction .	pos
111	The film aims to be funny , uplifting and moving , sometimes all at once .	pos
112	The extent to which it succeeds is impressive .	pos
113	The film brilliantly shines on all the characters , as the direction is intelligently accomplished .	pos
114	While not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the National Lampoon film franchise , too long reduced to direct-to-video irrelevancy .	pos
115	As broad and cartoonish as the screenplay is , there is an accuracy of observation in the work of the director , Frank Novak , that keeps the film grounded in an undeniable social realism .	pos
116	In addition to Hoffman 's powerful acting clinic , this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday .	pos
117	Jeffrey Tambor 's performance as the intelligent jazz-playing exterminator is Oscar-worthy .	pos
118	From the opening strains of the Average White Band 's `` Pick up the Pieces '' , you can feel the love .	pos
119	Stevens ' vibrant creative instincts are the difference between this and countless other flicks about guys and dolls .	pos
120	that it 'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture	pos
122	Meyjes ' provocative film might be called an example of the haphazardness of evil .	pos
